行,C NO.,ON,OFF,MA,IP,SV,UP,DN,JS,JM,S,OC,HP,PP,C,PL,V,AL,L,LD,底部余量,侧面余量,AJC,加工速度,定时,定时时间,粗糙度,材料,面积,形状,重视,Ra,切入
2,4,12,12,0,8,95,8,3,50,00,63,0,40,0,0,+,21,15,3,2,0.053,0.035,24,0,T,,1.12,1,1,1,1,0.1,0
3,3,5,10,0,5,95,8,3,50,00,63,0,10,0,0,+,22,15,3,2,0.036,0.023,24,0,T,,0.8,1,1,1,1,0.1,0
4,2,1,5,0,10,95,8,5,50,00,63,0,40,10,1,-,22,30,3,2,0.022,0.013,24,0,T,,0.5,1,1,1,1,0.1,0
5,1,1,5,0,5,75,4,5,25,00,63,0,40,10,0,-,22,30,3,2,0.011,0.008,24,0,T,,0.1,1,1,1,1,0.1,0
2,3,12,12,0,8,75,8,3,50,00,63,0,40,10,0,+,21,15,3,2,0.052,0.0343,24,0,T,,0.86,1,1,1,1,0.32,0
3,2,5,10,0,5,95,8,3,50,00,63,0,40,10,0,+,22,15,3,2,0.035,0.0224,24,0,T,,0.49,1,1,1,1,0.32,0
4,1,1,5,0,5,95,4,5,25,00,63,0,40,10,1,-,22,30,3,2,0.012,0.008,24,0,T,,0.32,1,1,1,1,0.32,0
2,3,12,12,0,8,75,8,3,50,00,63,0,40,0,0,+,21,15,3,2,0.052,0.0343,24,0,T,,1.12,1,1,1,1,0.5,0
3,2,5,10,0,5,95,8,3,50,00,63,0,10,10,0,+,22,15,3,2,0.035,0.0224,24,0,T,,0.8,1,1,1,1,0.5,0
4,1,1,5,0,10,95,8,5,50,00,63,0,40,10,1,-,22,30,3,2,0.017,0.01,24,0,T,,0.5,1,1,1,1,0.5,0
2,2,12,12,0,8,75,8,3,50,00,63,0,40,0,0,+,21,15,3,2,0.045,0.0297,24,0,T,,1.12,1,1,1,1,0.8,0
3,1,5,10,0,5,75,8,3,50,00,63,0,0,10,0,+,22,15,3,2,0.024,0.018,24,0,T,,0.8,1,1,1,1,0.8,0
2,1,12,12,0,8,75,8,3,50,00,63,0,40,0,0,+,21,15,3,2,0.038,0.023,24,0,T,,1.12,1,1,1,1,1.12,0
2,8,60,30,0,23,65,20,4,80,03,52,0,0,1,0,+,11,10,2,2,0.103,0.071,24,0,T,,0,1,3,1,1,0.07,0
3,7,35,20,0,13,65,15,4,75,03,63,0,40,0,0,+,11,10,2,2,0.079,0.053,24,0,T,,2,1,3,1,1,0.07,0
4,6,12,12,0,5,100,11,4,50,03,63,0,40,0,0,+,21,10,2,2,0.061,0.041,24,0,T,,1.12,1,3,1,1,0.07,0
5,5,7,12,0,5,100,11,5,50,00,63,0,0,0,0,+,21,10,2,2,0.047,0.031,24,0,T,,0.8,1,3,1,1,0.07,0
6,4,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.037,0.025,24,0,T,,0.5,1,3,1,1,0.07,0
7,803,1,9,0,5,110,7,5,25,00,73,0,0,0,1,-,21,30,3,2,0.02,0.025,24,13,Z,157,0.32,1,3,1,1,0.07,0
8,803,1,9,0,5,110,7,5,25,00,73,0,0,0,1,-,21,30,3,2,0.028,0.014,24,10,Z,200,0.32,1,3,1,1,0.07,0
9,802,0,4,0,5,110,3,6,50,10,85,0,0,0,0,-,21,30,4,2,0.013,0.023,24,13,Z,157,0.14,1,3,1,1,0.07,0
10,802,0,4,0,5,110,3,6,50,10,85,0,0,0,0,-,21,30,4,2,0.021,0.01,24,10,Z,200,0.14,1,3,1,1,0.07,0
11,901,2,3,0,3,110,3,8,50,10,85,1000,0,10,0,-,22,30,4,2,0.011,0.021,24,22,Z,318,0.07,1,3,1,1,0.07,0
12,901,2,3,0,3,110,3,8,50,10,85,1000,0,10,0,-,22,30,4,2,0.019,0.008,24,15,Z,300,0.07,1,3,1,1,0.07,0
2,7,60,30,0,23,65,20,4,80,03,52,0,0,1,0,+,11,10,2,2,0.102,0.0703,24,0,T,,0,1,3,1,1,0.14,0
3,6,35,20,0,13,65,15,4,75,03,63,0,40,0,0,+,11,10,2,2,0.078,0.0523,24,0,T,,2,1,3,1,1,0.14,0
4,5,12,12,0,5,100,11,4,50,03,63,0,40,0,0,+,21,10,2,2,0.06,0.0403,24,0,T,,1.12,1,3,1,1,0.14,0
5,4,7,12,0,5,100,11,5,50,00,63,0,0,0,0,+,21,10,2,2,0.046,0.0304,24,0,T,,0.8,1,3,1,1,0.14,0
6,3,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.036,0.0243,24,0,T,,0.5,1,3,1,1,0.14,0
7,802,1,9,0,5,110,7,5,25,00,73,0,0,0,1,-,21,30,3,2,0.02,0.025,24,13,Z,157,0.32,1,3,1,1,0.14,0
8,802,1,9,0,5,110,7,5,25,00,73,0,0,0,1,-,21,30,3,2,0.019,0.0137,24,10,Z,200,0.32,1,3,1,1,0.14,0
9,801,0,4,0,5,110,3,6,50,10,85,0,0,0,0,-,21,30,4,2,0.011,0.021,24,13,Z,157,0.14,1,3,1,1,0.14,0
10,801,0,4,0,5,110,3,6,50,10,85,0,0,0,0,-,21,30,4,2,0.019,0.008,24,10,Z,200,0.14,1,3,1,1,0.14,0
2,6,60,30,0,23,65,20,4,80,03,52,0,0,1,0,+,11,10,2,2,0.11,0.0689,24,0,T,,0,1,3,1,1,0.32,0
3,5,35,20,0,13,65,15,4,75,03,63,0,40,0,0,+,11,10,2,2,0.076,0.051,24,0,T,,2,1,3,1,1,0.32,0
4,4,12,12,0,5,100,11,4,50,00,63,0,40,0,0,+,21,10,2,2,0.058,0.039,24,0,T,,1.12,1,3,1,1,0.32,0
5,3,7,10,0,5,100,11,5,50,00,63,0,0,0,0,+,21,10,2,2,0.044,0.029,24,0,T,,0.8,1,3,1,1,0.32,0
6,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.034,0.023,24,0,T,,0.5,1,3,1,1,0.32,0
7,801,1,5,0,5,95,6,5,25,00,63,0,40,0,1,-,22,30,3,2,0.012,0.016,24,13,Z,157,0.32,1,3,1,1,0.32,0
8,801,1,5,0,5,95,6,5,25,00,63,0,40,0,1,-,22,30,3,2,0.02,0.008,24,10,Z,200,0.32,1,3,1,1,0.32,0
1,10,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.218,0.5,24,0,T,,0,1,6,1,1,0.07,0
2,9,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.138,0.1049,24,0,T,,0,1,6,1,1,0.07,0
3,8,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.101,0.069,24,0,T,,2.8,1,6,1,1,0.07,0
4,7,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.077,0.051,24,0,T,,2,1,6,1,1,0.07,0
5,6,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.059,0.039,24,0,T,,1.12,1,6,1,1,0.07,0
6,5,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.045,0.029,24,0,T,,0.8,1,6,1,1,0.07,0
7,4,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.035,0.023,24,0,T,,0.7,1,6,1,1,0.07,0
8,803,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,15,3,2,0.018,0.023,24,8,Z,320,0.63,1,6,1,1,0.07,0
9,803,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,30,3,2,0.026,0.012,24,8,Z,240,0.63,1,6,1,1,0.07,0
10,802,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.011,0.021,24,8.5,Z,332,0.14,1,6,1,1,0.07,0
11,802,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.019,0.008,24,8.5,Z,250,0.14,1,6,1,1,0.07,0
12,801,0,3,0,0,90,3,16,50,10,85,0,40,10,0,-,22,30,4,2,0.009,0.019,24,12,Z,500,0.07,1,6,1,1,0.07,0
13,801,0,3,0,0,90,3,16,50,10,85,0,40,10,0,-,22,30,4,2,0.017,0.006,24,12,Z,400,0.07,1,6,1,1,0.07,0
1,9,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.217,0.5,24,0,T,,0,1,6,1,1,0.14,0
2,8,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.137,0.1041,24,0,T,,0,1,6,1,1,0.14,0
3,7,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.1,0.0683,24,0,T,,2.8,1,6,1,1,0.14,0
4,6,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.076,0.0503,24,0,T,,2,1,6,1,1,0.14,0
5,5,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.058,0.0383,24,0,T,,1.12,1,6,1,1,0.14,0
6,4,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.044,0.0283,24,0,T,,0.8,1,6,1,1,0.14,0
7,3,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.034,0.0223,24,0,T,,0.7,1,6,1,1,0.14,0
8,802,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,15,3,2,0.017,0.0217,24,8,Z,320,0.63,1,6,1,1,0.14,0
9,802,1,9,0,5,110,7,8,25,00,75,0,40,10,1,-,21,30,3,2,0.025,0.0116,24,8,Z,240,0.63,1,6,1,1,0.14,0
10,801,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.009,0.019,24,8.5,Z,332,0.14,1,6,1,1,0.14,0
11,801,0,4,0,5,110,3,13,50,10,85,0,40,10,0,-,21,30,4,2,0.017,0.006,24,8.5,Z,250,0.14,1,6,1,1,0.14,0
1,8,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.215,0.5,24,0,T,,0,1,6,1,1,0.32,0
2,7,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.135,0.1026,24,0,T,,0,1,6,1,1,0.32,0
3,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,2.8,1,6,1,1,0.32,0
4,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,6,1,1,0.32,0
5,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,6,1,1,0.32,0
6,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,6,1,1,0.32,0
7,2,4,10,0,3,100,7,5,25,00,63,0,0,0,0,+,21,10,2,2,0.032,0.021,24,0,T,,0.7,1,6,1,1,0.32,0
8,801,1,9,0,5,95,7,9,25,00,63,0,40,0,1,-,22,30,3,5,0.004,0.024,24,8,Z,320,0.32,1,6,1,1,0.32,0
9,801,1,9,0,5,95,7,9,25,00,63,0,40,0,1,-,22,30,3,5,0.024,0.009,24,8,Z,240,0.32,1,6,1,1,0.32,0
1,8,190,40,0,50,50,20,4,80,03,21,0,0,11,0,+,22,10,2,0,0.215,0.5,24,0,T,,0,1,6,1,1,0.5,0
2,7,100,40,0,35,50,17,5,80,03,42,0,0,1,0,+,21,10,2,2,0.135,0.1026,24,0,T,,0,1,6,1,1,0.5,0
3,6,60,30,0,23,65,20,5,80,03,52,0,0,1,0,+,11,10,2,2,0.098,0.0669,24,0,T,,2.8,1,6,1,1,0.5,0
4,5,35,20,0,13,65,15,5,75,03,63,0,40,0,0,+,11,10,2,2,0.074,0.049,24,0,T,,2,1,6,1,1,0.5,0
5,4,12,12,0,5,100,12,5,50,00,63,0,40,0,0,+,21,10,2,2,0.056,0.037,24,0,T,,1.12,1,6,1,1,0.5,0
6,3,7,12,0,5,100,12,5,50,00,63,0,0,0,0,+,21,10,2,2,0.042,0.027,24,0,T,,0.8,1,6,1,1,0.5,0
